"Crop (code)","Crop","Administrative level 1 (code)","Administrative level 1","Year","Value","Flag"
"388","Tomatoes","65709","Sokoto","1999","",".."
"388","Tomatoes","65709","Sokoto","2000","",".."
"388","Tomatoes","65709","Sokoto","2001","",".."
"388","Tomatoes","65709","Sokoto","2002","",".."
"388","Tomatoes","65709","Sokoto","1995","",".."
"388","Tomatoes","65709","Sokoto","1996","",".."
"388","Tomatoes","65709","Sokoto","1997","",".."
"388","Tomatoes","65709","Sokoto","1998","",".."
"388","Tomatoes","65708","Rivers","2009","",".."
"388","Tomatoes","65708","Rivers","2010","",".."
"388","Tomatoes","65708","Rivers","2011","",".."
"388","Tomatoes","65708","Rivers","2012","",".."
"388","Tomatoes","65708","Rivers","2005","",".."
"388","Tomatoes","65708","Rivers","2006","",".."
"388","Tomatoes","65708","Rivers","2007","",".."
"388","Tomatoes","65708","Rivers","2008","",".."
"388","Tomatoes","2239","Taraba","1998","",".."
"388","Tomatoes","2239","Taraba","1997","",".."
"388","Tomatoes","2239","Taraba","2000","",".."
"388","Tomatoes","2239","Taraba","1999","",".."
"388","Tomatoes","65709","Sokoto","2012","48200",""
"388","Tomatoes","65709","Sokoto","2011","47090",""
"388","Tomatoes","2239","Taraba","1996","",".."
"388","Tomatoes","2239","Taraba","1995","",".."
"388","Tomatoes","65709","Sokoto","2008","",".."
"388","Tomatoes","65709","Sokoto","2007","",".."
"388","Tomatoes","65709","Sokoto","2010","",".."
"388","Tomatoes","65709","Sokoto","2009","",".."
"388","Tomatoes","65709","Sokoto","2004","",".."
"388","Tomatoes","65709","Sokoto","2003","",".."
"388","Tomatoes","65709","Sokoto","2006","",".."
"388","Tomatoes","65709","Sokoto","2005","",".."
"388","Tomatoes","2240","Yobe","1997","",".."
"388","Tomatoes","2240","Yobe","1998","",".."
"388","Tomatoes","2240","Yobe","1995","",".."
"388","Tomatoes","2240","Yobe","1996","",".."
"388","Tomatoes","2239","Taraba","2011","4190",""
"388","Tomatoes","2239","Taraba","2012","7400",""
"388","Tomatoes","2239","Taraba","2009","",".."
"388","Tomatoes","2239","Taraba","2010","",".."
"388","Tomatoes","2239","Taraba","2007","",".."
"388","Tomatoes","2239","Taraba","2008","",".."
"388","Tomatoes","2239","Taraba","2005","",".."
"388","Tomatoes","2239","Taraba","2006","",".."
"388","Tomatoes","2239","Taraba","2003","",".."
"388","Tomatoes","2239","Taraba","2004","",".."
"388","Tomatoes","2239","Taraba","2001","",".."
"388","Tomatoes","2239","Taraba","2002","",".."
"388","Tomatoes","65710","Zamfara","1996","",".."
"388","Tomatoes","65710","Zamfara","1995","",".."
"388","Tomatoes","2240","Yobe","2012","13000",""
"388","Tomatoes","2240","Yobe","2011","13980",""
"388","Tomatoes","2240","Yobe","2010","",".."
"388","Tomatoes","2240","Yobe","2009","",".."
"388","Tomatoes","2240","Yobe","2008","",".."
"388","Tomatoes","2240","Yobe","2007","",".."
"388","Tomatoes","2240","Yobe","2006","",".."
"388","Tomatoes","2240","Yobe","2005","",".."
"388","Tomatoes","2240","Yobe","2004","",".."
"388","Tomatoes","2240","Yobe","2003","",".."
"388","Tomatoes","2240","Yobe","2002","",".."
"388","Tomatoes","2240","Yobe","2001","",".."
"388","Tomatoes","2240","Yobe","2000","",".."
"388","Tomatoes","2240","Yobe","1999","",".."
"388","Tomatoes","2234","Osun","2003","",".."
"388","Tomatoes","2234","Osun","2004","",".."
"388","Tomatoes","2234","Osun","2005","",".."
"388","Tomatoes","2234","Osun","2006","",".."
"388","Tomatoes","2234","Osun","2007","",".."
"388","Tomatoes","2234","Osun","2008","",".."
"388","Tomatoes","2234","Osun","2009","",".."
"388","Tomatoes","2234","Osun","2010","",".."
"388","Tomatoes","2234","Osun","1995","",".."
"388","Tomatoes","2234","Osun","1996","",".."
"388","Tomatoes","2234","Osun","1997","",".."
"388","Tomatoes","2234","Osun","1998","",".."
"388","Tomatoes","2234","Osun","1999","",".."
"388","Tomatoes","2234","Osun","2000","",".."
"388","Tomatoes","2234","Osun","2001","",".."
"388","Tomatoes","2234","Osun","2002","",".."
"388","Tomatoes","2235","Oyo","2002","",".."
"388","Tomatoes","2235","Oyo","2001","",".."
"388","Tomatoes","2235","Oyo","2004","",".."
"388","Tomatoes","2235","Oyo","2003","",".."
"388","Tomatoes","2235","Oyo","2006","",".."
"388","Tomatoes","2235","Oyo","2005","",".."
"388","Tomatoes","2235","Oyo","2008","",".."
"388","Tomatoes","2235","Oyo","2007","",".."
"388","Tomatoes","2234","Osun","2012","6900",""
"388","Tomatoes","2234","Osun","2011","8120",""
"388","Tomatoes","2235","Oyo","1996","",".."
"388","Tomatoes","2235","Oyo","1995","",".."
"388","Tomatoes","2235","Oyo","1998","",".."
"388","Tomatoes","2235","Oyo","1997","",".."
"388","Tomatoes","2235","Oyo","2000","",".."
"388","Tomatoes","2235","Oyo","1999","",".."
"388","Tomatoes","65707","Plateau","2001","",".."
"388","Tomatoes","65707","Plateau","2002","",".."
"388","Tomatoes","65707","Plateau","1999","",".."
"388","Tomatoes","65707","Plateau","2000","",".."
"388","Tomatoes","65707","Plateau","2005","",".."
"388","Tomatoes","65707","Plateau","2006","",".."
"388","Tomatoes","65707","Plateau","2003","",".."
"388","Tomatoes","65707","Plateau","2004","",".."
"388","Tomatoes","2235","Oyo","2011","10250",""
"388","Tomatoes","2235","Oyo","2012","5700",""
