FID,hhid,q111_count,q112_dist,q113_villa,q117_gpsla,q118_gpslo,q119_hhstr,q1110_hhnd,q1111_hhnd,ORCDRC_s1,ORCDRC_s2,ORCDRC_s3,ORCDRC_s4,ORCDRC_s5,ORCDRC_s6,ORCDRC_s7,CLYPPT_s1,CLYPPT_s2,CLYPPT_s3,CLYPPT_s4,CLYPPT_s5,CLYPPT_s6,CLYPPT_s7,PHIHOX_s1,PHIHOX_s2,PHIHOX_s3,PHIHOX_s4,PHIHOX_s5,PHIHOX_s6,PHIHOX_s7,PHIKCL_s1,PHIKCL_s2,PHIKCL_s3,PHIKCL_s4,PHIKCL_s5,PHIKCL_s6,PHIKCL_s7,SLTPPT_s1,SLTPPT_s2,SLTPPT_s3,SLTPPT_s4,SLTPPT_s5,SLTPPT_s6,SLTPPT_s7,SNDPPT_s1,SNDPPT_s2,SNDPPT_s3,SNDPPT_s4,SNDPPT_s5,SNDPPT_s6,SNDPPT_s7
0,1081062,Nepal,Banke,Sitapur,28.089200000000002,81.535499999999999,1,0.458607000000000,0.800800000000000,111,111,111,111,111,111,111,30,30,30,30,30,30,30,73,73,73,73,73,73,73,56,56,56,56,56,56,56,34,34,34,34,34,34,34,37,37,37,37,37,37,37
1,1081119,Nepal,Banke,Sitapur,28.087499999999999,81.538100000000000,1,0.456056000000000,0.801800000000000,111,111,111,111,111,111,111,30,30,30,30,30,30,30,73,73,73,73,73,73,73,56,56,56,56,56,56,56,34,34,34,34,34,34,34,37,37,37,37,37,37,37
2,1081068,Nepal,Banke,Sonpur,28.138500000000001,81.566900000000004,1,0.390816000000000,0.827500000000000,112,112,112,112,112,112,112,28,28,28,28,28,28,28,72,72,72,72,72,72,72,56,56,56,56,56,56,56,32,32,32,32,32,32,32,40,40,40,40,40,40,40
3,1081051,Nepal,Banke,Kgaun,28.086500000000001,81.535799999999995,1,0.401417000000000,0.801800000000000,111,111,111,111,111,111,111,30,30,30,30,30,30,30,73,73,73,73,73,73,73,56,56,56,56,56,56,56,34,34,34,34,34,34,34,37,37,37,37,37,37,37
4,1081153,Nepal,Banke,Sunaulotol raniapur,28.151700000000002,81.581599999999995,2,0.360212000000000,0.797400000000000,106,106,106,106,106,106,106,29,29,29,29,29,29,29,72,72,72,72,72,72,72,56,56,56,56,56,56,56,30,30,30,30,30,30,30,42,42,42,42,42,42,42
5,1081066,Nepal,Banke,Chhote drishi,28.129700000000000,81.541100000000000,2,0.310800000000000,0.731200000000000,111,111,111,111,111,111,111,30,30,30,30,30,30,30,73,73,73,73,73,73,73,56,56,56,56,56,56,56,31,31,31,31,31,31,31,39,39,39,39,39,39,39
6,1081114,Nepal,Banke,Titihiriya,28.188199999999998,81.554400000000001,4,0.223429000000000,0.673900000000000,114,114,114,114,114,114,114,31,31,31,31,31,31,31,73,73,73,73,73,73,73,56,56,56,56,56,56,56,31,31,31,31,31,31,31,38,38,38,38,38,38,38
7,1081146,Nepal,Banke,Sonpur,28.141900000000000,81.564200000000000,4,0.263359000000000,0.783800000000000,116,116,116,116,116,116,116,29,29,29,29,29,29,29,72,72,72,72,72,72,72,56,56,56,56,56,56,56,32,32,32,32,32,32,32,40,40,40,40,40,40,40
8,1081178,Nepal,Banke,Sitapur,28.093800000000002,81.530000000000001,2,0.326013000000000,0.785900000000000,112,112,112,112,112,112,112,29,29,29,29,29,29,29,72,72,72,72,72,72,72,56,56,56,56,56,56,56,33,33,33,33,33,33,33,38,38,38,38,38,38,38
9,1081001,Nepal,Banke,Sonpur,28.138300000000001,81.565799999999996,1,0.411004000000000,0.827500000000000,118,118,118,118,118,118,118,29,29,29,29,29,29,29,72,72,72,72,72,72,72,56,56,56,56,56,56,56,32,32,32,32,32,32,32,40,40,40,40,40,40,40
10,1081007,Nepal,Banke,Sitapur,28.088699999999999,81.539800000000000,1,0.471430000000000,0.800800000000000,111,111,111,111,111,111,111,30,30,30,30,30,30,30,73,73,73,73,73,73,73,56,56,56,56,56,56,56,34,34,34,34,34,34,34,37,37,37,37,37,37,37
11,1081156,Nepal,Banke,Udharapur,28.129600000000000,81.541100000000000,1,0.255088000000000,0.731200000000000,111,111,111,111,111,111,111,30,30,30,30,30,30,30,73,73,73,73,73,73,73,56,56,56,56,56,56,56,31,31,31,31,31,31,31,39,39,39,39,39,39,39
12,1081134,Nepal,Banke,Raniapur,28.151100000000000,81.580100000000002,4,0.399087000000000,0.725400000000000,106,106,106,106,106,106,106,29,29,29,29,29,29,29,72,72,72,72,72,72,72,56,56,56,56,56,56,56,30,30,30,30,30,30,30,42,42,42,42,42,42,42
13,1081008,Nepal,Banke,Sitapur,28.087900000000001,81.539100000000005,1,0.398994000000000,0.817800000000000,111,111,111,111,111,111,111,30,30,30,30,30,30,30,73,73,73,73,73,73,73,56,56,56,56,56,56,56,34,34,34,34,34,34,34,37,37,37,37,37,37,37
