hhid,q112_dist,q117_gpslat,q118_gpslong,s_yield,fym_kgha,Nitrogen_kgha,P2O5_kgha,K2O_kgha,Zn_kgha,q202_soiltype,q204_landtype,q205_varietytype,q2012_seedsource,q2016_fymom,q211_fertzapply,q241_irrigaccess,q244_noirrigrice,q281_weedensity,q282_weedcontrol,q2101_stress,seeding_doy,transplant_doy,seeding_days,harvest_doi
1081136,Banke,28.1886,81.5553,2600,0,64,46,0,0,Heavey,lowland,OPV,Purchased from market,no,yes,no,0,high,yes,yes,156,179,23,297
1084128,Bardiya,28.1833,81.395,3000,0,59.14286,0,0,0,Medium,lowland,hybrid,Purchased from market,no,yes,yes,0,medium,yes,yes,152,187,35,299
1084167,Bardiya,28.3118,81.2564,3900,0,82.2,69,0,0,Medium,lowland,OPV,Own stored,no,yes,yes,2,low,yes,yes,161,188,27,318
1084061,Bardiya,28.1842,81.3934,2700,0,82.5,34.5,14.4,0,Medium,lowland,hybrid,Purchased from market,no,yes,yes,2,low,yes,yes,152,191,39,284
1081076,Banke,28.146,81.5854,1200,0,38.4,27.6,0,0,Medium,lowland,hybrid,Purchased from market,no,yes,no,0,high,yes,yes,169,198,29,300
1099087,Kanchanpur,28.6797,80.3708,3150,0,103.5,0,0,0,Light,lowland,OPV,Purchased from market,no,yes,yes,1,low,no,yes,159,188,29,296
1071125,Rupandehi,27.5326,83.5292,6600,0,109.8,69,0,0,Medium,lowland,OPV,Own stored,no,yes,yes,2,low,yes,yes,172,196,24,322
1076119,Kapilbastu,27.545,83.0214,5142.857,0,90.08571,69,0,0,Light,lowland,OPV,Purchased from market,no,yes,yes,3,high,yes,no,175,198,23,325
1081164,Banke,28.1379,81.5651,3409.091,0,26.18182,18.81818,0,0,Medium,lowland,OPV,Own stored,no,yes,no,0,low,yes,yes,162,194,32,312
1099042,Kanchanpur,28.9446,80.2376,2400,0,33,13.8,0,0,Medium,medium land,OPV,Own stored,no,yes,yes,2,low,yes,yes,163,187,24,289
1091090,Kailali,28.7232,80.8419,4800,0,24.6,27.6,0,0,Medium,lowland,OPV,Own stored,no,yes,yes,1,low,yes,yes,157,186,29,298
1091121,Kailali,28.7966,80.5875,3937.5,0,41.25,17.25,0,0,Medium,lowland,OPV,Purchased from market,no,yes,yes,1,low,yes,no,152,187,35,297
1099099,Kanchanpur,28.9052,80.355,2571.428,0,29.57143,0,0,0,Medium,lowland,traditional,Own stored,no,yes,yes,0,medium,yes,yes,155,192,37,294
1076103,Kapilbastu,27.509,83.2023,6000,0,96,69,0,0,Medium,lowland,OPV,Purchased from market,no,yes,no,0,medium,yes,no,169,197,28,314
1076002,Kapilbastu,27.4974,83.0236,5500,0,114.5,57.5,0,0,Medium,verylowland,OPV,Purchased from market,no,yes,yes,2,high,yes,yes,175,200,25,323
1091004,Kailali,28.634,81.1354,3000,0,120,86.25,0,0,Heavey,lowland,OPV,Purchased from market,no,yes,yes,1,high,yes,yes,161,184,23,309
1076125,Kapilbastu,27.5453,83.0219,5550,0,90.6,55.2,0,0,Light,lowland,hybrid,Purchased from market,no,yes,yes,3,medium,yes,no,175,201,26,326
