State,District,Subdistt,Town/Village,Level,Name,TRU,No_HH
10,203,0,0,DISTRICT,Pashchim Champaran,Total,710461
10,203,0,0,DISTRICT,Pashchim Champaran,Rural,637354
10,203,0,0,DISTRICT,Pashchim Champaran,Urban,73107
10,203,1013,0,SUB-DISTRICT,Sidhaw,Total,55436
10,203,1013,0,SUB-DISTRICT,Sidhaw,Rural,55436
10,203,1013,0,SUB-DISTRICT,Sidhaw,Urban,0
10,203,1013,215990,VILLAGE,Bhaisalotan,Rural,1954
10,203,1013,215991,VILLAGE,Tharhi,Rural,482
10,203,1013,215992,VILLAGE,Pipra,Rural,319
10,203,1013,215993,VILLAGE,Kotaraha,Rural,137
10,203,1013,215994,VILLAGE,Rampurwa,Rural,710
10,203,1013,215995,VILLAGE,Lachhmipur,Rural,333
10,203,1013,215996,VILLAGE,Daruabari,Rural,299
10,203,1013,215997,VILLAGE,Santpur,Rural,267
10,203,1013,215998,VILLAGE,Soharia,Rural,588
10,203,1013,215999,VILLAGE,Parsauni,Rural,853
10,203,1013,216000,VILLAGE,Balgangwa,Rural,738
10,203,1013,216001,VILLAGE,Jharharwa,Rural,356
10,203,1013,216002,VILLAGE,Shiunaha,Rural,297
10,203,1013,216003,VILLAGE,Champapur,Rural,492
10,203,1013,216004,VILLAGE,Narainapur,Rural,333
10,203,1013,216005,VILLAGE,Gonauli,Rural,250
10,203,1013,216006,VILLAGE,Malkauli,Rural,174
10,203,1013,216007,VILLAGE,Gorar,Rural,128
10,203,1013,216008,VILLAGE,Satchubanwa,Rural,171
10,203,1013,216009,VILLAGE,Pipra,Rural,262
10,203,1013,216010,VILLAGE,Songaharwa,Rural,263
10,203,1013,216011,VILLAGE,Dardari,Rural,395
10,203,1013,216012,VILLAGE,Misraulia,Rural,359
10,203,1013,216013,VILLAGE,Kotraha,Rural,210
10,203,1013,216014,VILLAGE,Naurangiya,Rural,527
10,203,1013,216015,VILLAGE,Kerai,Rural,157
10,203,1013,216016,VILLAGE,Berai,Rural,171
10,203,1013,216017,VILLAGE,Ghurauli,Rural,269
10,203,1013,216018,VILLAGE,Amhat,Rural,165
10,203,1013,216019,VILLAGE,Mohna,Rural,521
10,203,1013,216020,VILLAGE,Matiaria,Rural,250
10,203,1013,216021,VILLAGE,Amwa,Rural,327
10,203,1013,216022,VILLAGE,Katharwa,Rural,183
10,203,1013,216023,VILLAGE,Dewtaha,Rural,141
10,203,1013,216024,VILLAGE,Mahuawa,Rural,174
10,203,1013,216025,VILLAGE,Bankatwa,Rural,175
10,203,1013,216026,VILLAGE,Semra,Rural,255
10,203,1013,216027,VILLAGE,Harnatanr,Rural,764
10,203,1013,216028,VILLAGE,Mahdewa,Rural,282
10,203,1013,216029,VILLAGE,Bairiya Kalan,Rural,421
10,203,1013,216030,VILLAGE,Bairiya Khurd,Rural,538
10,203,1013,216031,VILLAGE,Chhatraul,Rural,472
10,203,1013,216032,VILLAGE,Garkatti,Rural,238
10,203,1013,216033,VILLAGE,Jarar,Rural,504
10,203,1013,216034,VILLAGE,Sinagahi,Rural,43
10,203,1013,216035,VILLAGE,Balua,Rural,790
10,203,1013,216037,VILLAGE,Belahwa,Rural,763
10,203,1013,216038,VILLAGE,Pachrukha,Rural,880
10,203,1013,216039,VILLAGE,Madanpur,Rural,647
10,203,1013,216040,VILLAGE,Rampurwa,Rural,1607
10,203,1013,216041,VILLAGE,Rampur,Rural,616
10,203,1013,216042,VILLAGE,Naakar Rampur,Rural,376
10,203,1013,216043,VILLAGE,Jamunapur,Rural,146
10,203,1013,216044,VILLAGE,Pipra Dharauli,Rural,466
10,203,1013,216046,VILLAGE,Binwaliya,Rural,489
10,203,1013,216047,VILLAGE,Dudhaura,Rural,312
10,203,1013,216048,VILLAGE,Karmaha,Rural,167
10,203,1013,216049,VILLAGE,Budhsar,Rural,276
10,203,1013,216050,VILLAGE,Batsara,Rural,331
10,203,1013,216051,VILLAGE,Sidhawa,Rural,359
10,203,1013,216052,VILLAGE,Naraingarh,Rural,200
10,203,1013,216053,VILLAGE,Behuarwa,Rural,366
10,203,1013,216056,VILLAGE,Majhauwa,Rural,287
10,203,1013,216057,VILLAGE,Bakulia,Rural,224
10,203,1013,216058,VILLAGE,Khamaura,Rural,283
10,203,1013,216059,VILLAGE,Barba Khurd,Rural,194
10,203,1013,216060,VILLAGE,Misraulia,Rural,306
10,203,1013,216061,VILLAGE,Dewriya,Rural,240
10,203,1013,216062,VILLAGE,Bharchhi,Rural,314
10,203,1013,216063,VILLAGE,Khajoria,Rural,386
10,203,1013,216064,VILLAGE,Amolba,Rural,55
10,203,1013,216065,VILLAGE,PandarKhap,Rural,182
10,203,1013,216066,VILLAGE,Barba Kalan,Rural,333
10,203,1013,216067,VILLAGE,Tariwanwa,Rural,390
10,203,1013,216068,VILLAGE,Kunai Lachhmipur,Rural,289
10,203,1013,216069,VILLAGE,Bhelahi,Rural,367
10,203,1013,216070,VILLAGE,Mainahamothia,Rural,101
10,203,1013,216071,VILLAGE,Jamira,Rural,342
10,203,1013,216072,VILLAGE,Nawatanwa,Rural,632
10,203,1013,216073,VILLAGE,Tikulia,Rural,186
10,203,1013,216074,VILLAGE,Nawtanwan,Rural,31
10,203,1013,216075,VILLAGE,Paorha,Rural,133
10,203,1013,216077,VILLAGE,Dharahia,Rural,403
10,203,1013,216078,VILLAGE,Hathiwanwan,Rural,248
10,203,1013,216079,VILLAGE,Dholbajwa,Rural,602
10,203,1013,216080,VILLAGE,Gangaulia,Rural,148
10,203,1013,216081,VILLAGE,Darhia,Rural,204
10,203,1013,216082,VILLAGE,Shiwraha,Rural,276
10,203,1013,216083,VILLAGE,Kerai Berai,Rural,230
10,203,1013,216084,VILLAGE,Marjadpur,Rural,333
10,203,1013,216085,VILLAGE,Ratanpurwa,Rural,271
10,203,1013,216086,VILLAGE,Lachhmipur,Rural,321
10,203,1013,216087,VILLAGE,Kataha,Rural,487
10,203,1013,216088,VILLAGE,Bhitaha,Rural,215
10,203,1013,216089,VILLAGE,Kadamha,Rural,433
10,203,1013,216090,VILLAGE,Chiutaha,Rural,652
10,203,1013,216091,VILLAGE,Bairagi Sonbarsa,Rural,844
10,203,1013,216092,VILLAGE,Serahwa,Rural,263
10,203,1013,216093,VILLAGE,Pipra,Rural,97
10,203,1013,216094,VILLAGE,Balkahwa,Rural,297
10,203,1013,216095,VILLAGE,Bairati ,Rural,359
10,203,1013,216096,VILLAGE,Barganw,Rural,13
10,203,1013,216097,VILLAGE,Kharhat,Rural,954
10,203,1013,216098,VILLAGE,Tonwa,Rural,369
10,203,1013,216099,VILLAGE,Barwa,Rural,237
10,203,1013,216100,VILLAGE,Belwachakhni,Rural,299
10,203,1013,216101,VILLAGE,Bariarwa,Rural,286
10,203,1013,216102,VILLAGE,Sapahi,Rural,226
10,203,1013,216103,VILLAGE,Mahuawa,Rural,268
10,203,1013,216104,VILLAGE,Tri-Bhauni,Rural,453
10,203,1013,216105,VILLAGE,Barwa,Rural,154
10,203,1013,216106,VILLAGE,Sirji Barhampur,Rural,263
10,203,1013,216107,VILLAGE,Bharauliya,Rural,245
10,203,1013,216108,VILLAGE,Shiuna,Rural,103
10,203,1013,216109,VILLAGE,Ramauliya,Rural,265
10,203,1013,216110,VILLAGE,Paikaulia,Rural,607
10,203,1013,216111,VILLAGE,Dhakdhaian,Rural,313
10,203,1013,216112,VILLAGE,Katkuina,Rural,246
10,203,1013,216113,VILLAGE,Medraul,Rural,160
10,203,1013,216114,VILLAGE,Semra,Rural,1089
10,203,1013,216115,VILLAGE,Khurharia,Rural,120
10,203,1013,216116,VILLAGE,Panchgarwa,Rural,486
10,203,1013,216117,VILLAGE,Jhankaul,Rural,127
10,203,1013,216118,VILLAGE,Tarwalia,Rural,277
10,203,1013,216119,VILLAGE,Harka,Rural,32
10,203,1013,216120,VILLAGE,Singari,Rural,411
10,203,1013,216121,VILLAGE,Bhinda Chaur,Rural,239
10,203,1013,216122,VILLAGE,Leduaphas Phaso,Rural,590
10,203,1013,216123,VILLAGE,Patherwa,Rural,255
10,203,1013,216124,VILLAGE,Pharsahni,Rural,348
10,203,1013,216126,VILLAGE,Bauridouri,Rural,256
10,203,1013,216127,VILLAGE,Nayaganw,Rural,337
10,203,1013,216128,VILLAGE,Ausani,Rural,711
10,203,1013,216129,VILLAGE,Mangalpur,Rural,869
10,203,1013,216130,VILLAGE,Pokharbhinda,Rural,69
10,203,1013,216131,VILLAGE,Sukhban,Rural,300
10,203,1013,216132,VILLAGE,Goiti,Rural,299
10,203,1013,216134,VILLAGE,Bansganw,Rural,318
10,203,1013,216135,VILLAGE,Sabeya Musai,Rural,139
10,203,1013,216138,VILLAGE,Gorkati,Rural,116
10,203,1013,216139,VILLAGE,Bindauliya,Rural,165
10,203,1013,216140,VILLAGE,Mahuar,Rural,466
10,203,1013,216141,VILLAGE,Bangaria,Rural,95
10,203,1013,216142,VILLAGE,Maghariya,Rural,127
10,203,1013,216143,VILLAGE,Narwal,Rural,661
10,203,1013,216144,VILLAGE,Pokharbhinda,Rural,246
10,203,1013,216146,VILLAGE,Barwal,Rural,728
10,203,1013,216149,VILLAGE,Serahwa,Rural,291
10,203,1013,216150,VILLAGE,Dhandhi,Rural,154
10,203,1013,216152,VILLAGE,Turki,Rural,112
10,203,1013,216153,VILLAGE,Semarkol,Rural,75
10,203,1013,216155,VILLAGE,Pipra,Rural,84
10,203,1013,216156,VILLAGE,Khiria urf Gamharia,Rural,139
10,203,1013,216157,VILLAGE,Sikatia,Rural,88
10,203,1013,216159,VILLAGE,Machharganwan,Rural,291
10,203,1013,216160,VILLAGE,Gurwaliya,Rural,74
10,203,1013,216161,VILLAGE,Matiaria,Rural,884
10,203,1013,216162,VILLAGE,Chamwalia,Rural,200
10,203,1013,216163,VILLAGE,Gopaulia,Rural,11
10,203,1014,0,SUB-DISTRICT,Ramnagar,Total,46036
10,203,1014,0,SUB-DISTRICT,Ramnagar,Rural,36913
10,203,1014,0,SUB-DISTRICT,Ramnagar,Urban,9123
10,203,1014,216164,VILLAGE,Bargajwa,Rural,294
10,203,1014,216165,VILLAGE,Baikunthwa,Rural,165
10,203,1014,216166,VILLAGE,Mahui,Rural,930
10,203,1014,216167,VILLAGE,Semra,Rural,129
10,203,1014,216168,VILLAGE,Barganw,Rural,380
10,203,1014,216169,VILLAGE,Serahwa,Rural,220
10,203,1014,216170,VILLAGE,Bahuari,Rural,305
10,203,1014,216171,VILLAGE,Inarbarwa,Rural,260
10,203,1014,216172,VILLAGE,Jogia,Rural,1113
10,203,1014,216173,VILLAGE,Pakri,Rural,246
10,203,1014,216174,VILLAGE,Kaulachi,Rural,107
10,203,1014,216175,VILLAGE,Maguraha,Rural,391
10,203,1014,216176,VILLAGE,Murlidih,Rural,78
10,203,1014,216177,VILLAGE,Sabea,Rural,870
10,203,1014,216178,VILLAGE,Hardia,Rural,223
10,203,1014,216179,VILLAGE,Gardi,Rural,268
10,203,1014,216180,VILLAGE,Naurangia,Rural,965
10,203,1014,216181,VILLAGE,Majurha,Rural,133
10,203,1014,216182,VILLAGE,Bairiya Kalan,Rural,135
10,203,1014,216183,VILLAGE,Barwa Dih,Rural,60
10,203,1014,216184,VILLAGE,Gobrahia,Rural,479
10,203,1014,216185,VILLAGE,Jhajhri,Rural,25
10,203,1014,216186,VILLAGE,Dhayar,Rural,88
10,203,1014,216187,VILLAGE,Betahni,Rural,89
10,203,1014,216189,VILLAGE,Belatandi,Rural,121
10,203,1014,216190,VILLAGE,Pipra,Rural,137
10,203,1014,216191,VILLAGE,Rupwaliya,Rural,104
10,203,1014,216192,VILLAGE,Bankatwa,Rural,350
10,203,1014,216195,VILLAGE,Serahwa,Rural,282
10,203,1014,216196,VILLAGE,Dokhni,Rural,520
10,203,1014,216197,VILLAGE,Narkatia,Rural,256
10,203,1014,216201,VILLAGE,Sitalbari,Rural,332
10,203,1014,216202,VILLAGE,Banbari,Rural,153
10,203,1014,216203,VILLAGE,Damrapur,Rural,36
10,203,1014,216204,VILLAGE,Hariharpur,Rural,130
10,203,1014,216205,VILLAGE,Siswa,Rural,213
10,203,1014,216206,VILLAGE,Santpur,Rural,291
10,203,1014,216207,VILLAGE,Chamardih Bargon,Rural,268
10,203,1014,216208,VILLAGE,Churiharwa,Rural,108
10,203,1014,216209,VILLAGE,Gudgudi,Rural,461
10,203,1014,216211,VILLAGE,Kumhiya Kalan,Rural,243
10,203,1014,216212,VILLAGE,Khataura,Rural,262
10,203,1014,216213,VILLAGE,Khatauri,Rural,577
10,203,1014,216214,VILLAGE,Khairia,Rural,120
10,203,1014,216215,VILLAGE,Pakri,Rural,482
10,203,1014,216218,VILLAGE,Belwa Mokarari,Rural,406
10,203,1014,216219,VILLAGE,Beili,Rural,91
10,203,1014,216221,VILLAGE,Bara Belwa,Rural,306
10,203,1014,216223,VILLAGE,Kumhiya Khurd,Rural,154
10,203,1014,216224,VILLAGE,Imrit Katharwa,Rural,110
10,203,1014,216225,VILLAGE,Pathri,Rural,192
10,203,1014,216226,VILLAGE,Siwrahi,Rural,239
10,203,1014,216227,VILLAGE,Dumri,Rural,440
10,203,1014,216228,VILLAGE,Singahi,Rural,174
10,203,1014,216229,VILLAGE,Bakhraha,Rural,407
10,203,1014,216230,VILLAGE,Bagahi,Rural,489
10,203,1014,216231,VILLAGE,Nautanwa,Rural,210
10,203,1014,216232,VILLAGE,Sakhuani,Rural,45
10,203,1014,216233,VILLAGE,Gobardhana,Rural,317
10,203,1014,216234,VILLAGE,Kanghusri,Rural,81
10,203,1014,216235,VILLAGE,Manohagwan,Rural,424
10,203,1014,216236,VILLAGE,Ghoraghat Khaira,Rural,88
10,203,1014,216237,VILLAGE,Bairiya,Rural,72
10,203,1014,216238,VILLAGE,Bankatwa,Rural,509
10,203,1014,216239,VILLAGE,Pokharia,Rural,151
10,203,1014,216240,VILLAGE,Parsauni,Rural,608
10,203,1014,216241,VILLAGE,Bakri Pachrukhiya,Rural,754
10,203,1014,216242,VILLAGE,Bakwa,Rural,459
10,203,1014,216244,VILLAGE,Sonha,Rural,84
10,203,1014,216245,VILLAGE,Jharatwa,Rural,113
10,203,1014,216246,VILLAGE,Meghwal,Rural,777
10,203,1014,216247,VILLAGE,Harpur,Rural,181
10,203,1014,216248,VILLAGE,Kanghusri,Rural,128
10,203,1014,216249,VILLAGE,Phulkaul,Rural,416
10,203,1014,216250,VILLAGE,Phulwaria,Rural,293
10,203,1014,216252,VILLAGE,Mathiya,Rural,1016
10,203,1014,216253,VILLAGE,Khajuria,Rural,151
10,203,1014,216256,VILLAGE,Birkehni,Rural,98
10,203,1014,216257,VILLAGE,Madhubani,Rural,248
10,203,1014,216258,VILLAGE,Churiharwa,Rural,202
10,203,1014,216259,VILLAGE,Phagunahta,Rural,102
10,203,1014,216260,VILLAGE,Jabka,Rural,205
10,203,1014,216263,VILLAGE,Bholehar,Rural,64
10,203,1014,216264,VILLAGE,Pipra Mafi,Rural,157
10,203,1014,216265,VILLAGE,Bhawal,Rural,847
10,203,1014,216266,VILLAGE,Dhanarpa,Rural,233
10,203,1014,216267,VILLAGE,Kunriya,Rural,35
10,203,1014,216268,VILLAGE,Phulwariya,Rural,557
10,203,1014,216269,VILLAGE,Pipra,Rural,6
10,203,1014,216270,VILLAGE,Murera,Rural,447
10,203,1014,216271,VILLAGE,Belwa,Rural,391
10,203,1014,216272,VILLAGE,Sikta,Rural,193
10,203,1014,216273,VILLAGE,Dainmarwa,Rural,1335
10,203,1014,216274,VILLAGE,Bishunpurwa,Rural,192
10,203,1014,216275,VILLAGE,Pakri,Rural,221
10,203,1014,216276,VILLAGE,Chargharwa,Rural,274
10,203,1014,216277,VILLAGE,Nayaganw,Rural,397
10,203,1014,216278,VILLAGE,Arazi Pipra,Rural,123
10,203,1014,216279,VILLAGE,Pipra,Rural,62
10,203,1014,216280,VILLAGE,Dhokraha,Rural,611
10,203,1014,216281,VILLAGE,Pachrukha,Rural,295
10,203,1014,216282,VILLAGE,Barwa Banjariya,Rural,234
10,203,1014,216283,VILLAGE,Chhagurahi Banjariya,Rural,261
10,203,1014,216284,VILLAGE,Sapahi,Rural,284
10,203,1014,216285,VILLAGE,Sarhatwa,Rural,190
10,203,1014,216286,VILLAGE,Katsikri,Rural,168
10,203,1014,216288,VILLAGE,Gaunara,Rural,24
10,203,1014,216291,VILLAGE,Dubauliya,Rural,97
10,203,1014,216292,VILLAGE,Sohsa,Rural,461
10,203,1014,216293,VILLAGE,Lakhankhor,Rural,223
10,203,1014,216294,VILLAGE,Chaugharia,Rural,112
10,203,1014,216296,VILLAGE,Shivpurwa,Rural,191
10,203,1014,216297,VILLAGE,Kot Banjariya,Rural,73
10,203,1014,216298,VILLAGE,Sonkhar,Rural,622
10,203,1014,216302,VILLAGE,Bargon,Rural,244
10,203,1014,216303,VILLAGE,Mujra,Rural,559
10,203,1014,216304,VILLAGE,silautia,Rural,177
10,203,1014,216305,VILLAGE,Babhnauli,Rural,146
10,203,1014,216307,VILLAGE,Sigri,Rural,604
10,203,1014,216309,VILLAGE,Balaura,Rural,157
10,203,1014,216310,VILLAGE,Jharharwa,Rural,26
10,203,1014,216311,VILLAGE,Bigri,Rural,300
10,203,1014,216312,VILLAGE,Taulaha,Rural,760
10,203,1014,216314,VILLAGE,Dewaliya,Rural,357
10,203,1014,216315,VILLAGE,Babhni,Rural,64
10,203,1014,801277,TOWN,Ramnagar (NP),Urban,9123
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0001,Urban,564
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0002,Urban,349
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0003,Urban,361
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0004,Urban,229
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0005,Urban,411
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0006,Urban,442
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0007,Urban,474
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0008,Urban,621
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0009,Urban,256
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0010,Urban,489
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0011,Urban,272
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0012,Urban,496
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0013,Urban,395
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0014,Urban,195
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0015,Urban,180
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0016,Urban,557
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0017,Urban,171
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0018,Urban,500
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0019,Urban,336
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0020,Urban,797
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0021,Urban,371
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0022,Urban,353
10,203,1014,801277,WARD,Ramnagar (NP) WARD NO.-0023,Urban,304
10,203,1015,0,SUB-DISTRICT,Gaunaha,Total,37289
10,203,1015,0,SUB-DISTRICT,Gaunaha,Rural,37289
10,203,1015,0,SUB-DISTRICT,Gaunaha,Urban,0
10,203,1015,216316,VILLAGE,Parsa,Rural,188
10,203,1015,216317,VILLAGE,Mahuawa,Rural,148
10,203,1015,216318,VILLAGE,Hasti Bairia,Rural,20
10,203,1015,216319,VILLAGE,Sonbarsa,Rural,220
10,203,1015,216320,VILLAGE,Matiaria,Rural,418
10,203,1015,216321,VILLAGE,Mahui,Rural,179
10,203,1015,216322,VILLAGE,Bairia,Rural,118
10,203,1015,216323,VILLAGE,Belwa,Rural,185
10,203,1015,216324,VILLAGE,Gujra Motihari,Rural,72
10,203,1015,216325,VILLAGE,Jamunia,Rural,48
10,203,1015,216326,VILLAGE,Turkaulia,Rural,279
10,203,1015,216327,VILLAGE,Lachhnauta,Rural,295
10,203,1015,216328,VILLAGE,Shajahanpur,Rural,41
10,203,1015,216330,VILLAGE,Parsa,Rural,221
10,203,1015,216331,VILLAGE,Serahwa,Rural,166
10,203,1015,216332,VILLAGE,Masjidwa,Rural,366
10,203,1015,216333,VILLAGE,Sirsia,Rural,227
10,203,1015,216334,VILLAGE,Sherpur,Rural,140
10,203,1015,216336,VILLAGE,Mandiha,Rural,329
10,203,1015,216337,VILLAGE,Bakhri,Rural,239
10,203,1015,216338,VILLAGE,Bijaypur,Rural,199
10,203,1015,216339,VILLAGE,Dih Jagarnathpur,Rural,97
10,203,1015,216340,VILLAGE,Sithi,Rural,497
10,203,1015,216341,VILLAGE,Bishunpurwa,Rural,99
10,203,1015,216342,VILLAGE,Kachkahar,Rural,163
10,203,1015,216343,VILLAGE,Gamharia,Rural,277
10,203,1015,216344,VILLAGE,Tahkaul,Rural,235
10,203,1015,216345,VILLAGE,Pahkaul,Rural,127
10,203,1015,216347,VILLAGE,Barharwa,Rural,265
10,203,1015,216348,VILLAGE,Pakri Khurd,Rural,49
10,203,1015,216349,VILLAGE,Pakri Kalan,Rural,122
10,203,1015,216350,VILLAGE,Belsandi,Rural,417
10,203,1015,216351,VILLAGE,Hardi,Rural,245
10,203,1015,216353,VILLAGE,Mehnaul Kalan,Rural,508
10,203,1015,216354,VILLAGE,Itwa,Rural,121
10,203,1015,216356,VILLAGE,Bhuski,Rural,354
10,203,1015,216357,VILLAGE,Daraul,Rural,992
10,203,1015,216358,VILLAGE,Mehnaul Khurd,Rural,151
10,203,1015,216359,VILLAGE,Hauda,Rural,94
10,203,1015,216360,VILLAGE,Dumra,Rural,486
10,203,1015,216361,VILLAGE,Serahwa,Rural,216
10,203,1015,216363,VILLAGE,Ahrar,Rural,115
10,203,1015,216364,VILLAGE,Pipra,Rural,547
10,203,1015,216365,VILLAGE,Salempur,Rural,175
10,203,1015,216366,VILLAGE,Balua,Rural,102
10,203,1015,216367,VILLAGE,Mitni,Rural,180
10,203,1015,216368,VILLAGE,Matihani,Rural,152
10,203,1015,216369,VILLAGE,Kohargari,Rural,303
10,203,1015,216370,VILLAGE,Baswaria,Rural,370
10,203,1015,216371,VILLAGE,Tara,Rural,39
10,203,1015,216372,VILLAGE,Semri,Rural,270
10,203,1015,216373,VILLAGE,Sarpharwa,Rural,145
10,203,1015,216374,VILLAGE,Pirari,Rural,99
10,203,1015,216375,VILLAGE,Bajni,Rural,98
10,203,1015,216376,VILLAGE,Jamhauli,Rural,139
10,203,1015,216377,VILLAGE,Dumri,Rural,294
10,203,1015,216378,VILLAGE,Harkatwa,Rural,300
10,203,1015,216379,VILLAGE,Maguraha,Rural,558
10,203,1015,216380,VILLAGE,Gawnaha,Rural,770
10,203,1015,216381,VILLAGE,Rupaulia,Rural,462
10,203,1015,216382,VILLAGE,Harpur,Rural,264
10,203,1015,216383,VILLAGE,Parsa,Rural,531
10,203,1015,216384,VILLAGE,Rampurwa,Rural,111
