"State","District","Subdistt","Town/Village","Subdist","Name","No_HH"
"10","203","01019","216884","Bagaha","Bisambharpur",776
"10","203","01019","216904","Bagaha","Khairatwa",151
"10","203","01019","216871","Bagaha","Raibari Mahuawa",1964
"10","203","01019","216892","Bagaha","Singari- Garhwa",1125
"10","203","01029","217395","Bairia","Bhataulia",1024
"10","203","01029","217383","Bairia","Dumaria",2244
"10","203","01028","217358","Bettiah","Banu Chhapra",2202
"10","203","01022","217006","Bhitaha","Khaira Tola",3643
"10","203","01022","217026","Bhitaha","Machhaha urf Dubaha",1137
"10","203","01025","217151","Chanpatia","Bhaisahi",1094
"10","203","01015","216441","Gaunaha","Dhanauji",230
"10","203","01015","216379","Gaunaha","Maguraha",558
"10","203","01024","217128","Jogapatti","Chaube Tola",331
"10","203","01024","217072","Jogapatti","Chaumukha",958
"10","203","01024","217117","Jogapatti","Nawalpur",1771
"10","203","01016","216503","Mainatanr","Chauhatta",349
"10","203","01016","216570","Mainatanr","Parsa",518
"10","203","01016","216541","Mainatanr","Piparpanti",229
"10","203","01027","217328","Majhaulia","Majharia Shekh",1418
"10","203","01027","217291","Majhaulia","Siriswa",1518
"10","203","01017","216604","Narkatiaganj","Bargajwa",705
"10","203","01017","216722","Narkatiaganj","Bhabhta",1261
"10","203","01017","216587","Narkatiaganj","Mahuawa",589
"10","203","01017","216720","Narkatiaganj","Sirsia",649
"10","203","01030","217442","Nautan","Gahiri",1620
"10","203","01030","217436","Nautan","Mangalpur Kalan",772
"10","203","01020","216975","Piprasi","Dumri",2170
"10","203","01020","216973","Piprasi","Semralabedaha",3500
"10","203","01014","216207","Ramnagar","Chamardih Bargon",268
"10","203","01014","216283","Ramnagar","Chhagurahi Banjariya",261
"10","203","01014","216252","Ramnagar","Mathiya",1016
"10","203","01014","216268","Ramnagar","Phulwariya",557
"10","203","01013","216018","Sidhaw","Amhat",165
"10","203","01013","216134","Sidhaw","Bansganw",318
"10","203","01013","216037","Sidhaw","Belahwa",763
"10","203","01013","216089","Sidhaw","Kadamha",433
"10","203","01013","216102","Sidhaw","Sapahi",226
"10","203","01026","217249","Sikta","Jaisinghpur",423
"10","203","01026","217270","Sikta","Maswas",639
"10","203","01026","217250","Sikta","Shikarpur",791
